DateTime;kW;kVAr
7/1/2018 0:00;909.42;-446.03
7/1/2018 0:15;882.24;-438.51
7/1/2018 0:30;861.73;-443.88
7/1/2018 0:45;858.4;-448.76
7/1/2018 1:00;838.91;-441.43
7/1/2018 1:15;828.74;-442.12
7/1/2018 1:30;814.28;-443.88
7/1/2018 1:45;805.66;-443.63
7/1/2018 2:00;788.27;-438.81
7/1/2018 2:15;778.06;-426.09
7/1/2018 2:30;772.13;-430.2
7/1/2018 2:45;776.63;-436.61
7/1/2018 3:00;756.4;-426.94
7/1/2018 3:15;740.61;-413
7/1/2018 3:30;745.7;-424.41
7/1/2018 3:45;741.36;-420.7
7/1/2018 4:00;743.27;-417.9
7/1/2018 4:15;739.24;-412.18
7/1/2018 4:30;741.69;-423.64
7/1/2018 4:45;741.23;-427.59
7/1/2018 5:00;725.89;-424.29
7/1/2018 5:15;725.3;-431.97
7/1/2018 5:30;730.78;-424.45
7/1/2018 5:45;724.13;-420.02
7/1/2018 6:00;736.4;-425.98
7/1/2018 6:15;728.67;-415.93
7/1/2018 6:30;737.58;-423.24
7/1/2018 6:45;400.2;-246.83
7/1/2018 7:00;411.17;-256.59
7/1/2018 7:15;412.14;-253.01
7/1/2018 7:30;431.42;-259.32
7/1/2018 7:45;427.88;-260.56
7/1/2018 8:00;659.03;-366.02
7/1/2018 8:15;961.23;-535.88
7/1/2018 8:30;906.08;-490.91
7/1/2018 8:45;907.59;-482.15
7/1/2018 9:00;912.18;-472.3
7/1/2018 9:15;913.98;-467.88
7/1/2018 9:30;908.43;-477.57
7/1/2018 9:45;916.58;-473.76
7/1/2018 10:00;940.49;-473.35
7/1/2018 10:15;983.83;-489.44
7/1/2018 10:30;980.15;-495.92
7/1/2018 10:45;957.5;-479.3
7/1/2018 11:00;967.73;-472.54
7/1/2018 11:15;985.26;-479.68
7/1/2018 11:30;986.39;-478.45
7/1/2018 11:45;1014.06;-491.67
7/1/2018 12:00;1010.73;-494.28
7/1/2018 12:15;974.89;-482.1
7/1/2018 12:30;968.67;-481.88
7/1/2018 12:45;965.47;-479.29
7/1/2018 13:00;966.7;-483.73
7/1/2018 13:15;965.12;-483.91
7/1/2018 13:30;921.17;-473.93
7/1/2018 13:45;928.31;-483.63
7/1/2018 14:00;928.84;-486.59
7/1/2018 14:15;916.04;-470.29
7/1/2018 14:30;907.87;-479.4
7/1/2018 14:45;901.91;-468.94
7/1/2018 15:00;883.87;-466.89
7/1/2018 15:15;917.9;-463.81
7/1/2018 15:30;941.07;-469.37
7/1/2018 15:45;946.15;-475.45
7/1/2018 16:00;962.27;-472.25
7/1/2018 16:15;971.52;-463.87
7/1/2018 16:30;977.73;-476.39
7/1/2018 16:45;983.98;-485.46
7/1/2018 17:00;992.23;-481.7
7/1/2018 17:15;975.65;-472.55
7/1/2018 17:30;990.24;-473.41
7/1/2018 17:45;999.02;-465.56
7/1/2018 18:00;1034.97;-460.5
7/1/2018 18:15;1110.16;-474.82
7/1/2018 18:30;1183.21;-474.69
7/1/2018 18:45;1200.92;-461.45
7/1/2018 19:00;1214.46;-452.72
7/1/2018 19:15;1207.94;-453.08
7/1/2018 19:30;1235.99;-458.13
7/1/2018 19:45;1228.35;-448.01
7/1/2018 20:00;1192.49;-452.85
7/1/2018 20:15;1177.32;-456.27
7/1/2018 20:30;1171.86;-454.66
7/1/2018 20:45;1162.13;-452.9
7/1/2018 21:00;1136.96;-455.06
7/1/2018 21:15;1133.2;-442.26
7/1/2018 21:30;1113.89;-448.4
7/1/2018 21:45;1100.26;-450.27
7/1/2018 22:00;1079.38;-435.46
7/1/2018 22:15;1070.82;-445.4
