Pais;Poblacion;INB pc;E. de vida;Continente
Afghanistan;26088;250;43;No Europa
Albania;3172;2960;76;Europa
Algeria;33351;3030;72;No Europa
Andorra;74;NaN;NaN;Europa
Angola;16557;1980;42;No Europa
Antigua and Barbuda;84;11210;NaN;No Europa
Argentina;39134;5150;75;No Europa
Armenia;3010;1930;72;Europa
Australia;20530;35990;81;No Europa
Austria;8327;39590;80;Europa
Azerbaijan;8406;1850;67;No Europa
Bahamas;327;14920;73;No Europa
Bahrain;739;14370;75;No Europa
Bangladesh;155991;480;63;No Europa
Barbados;293;NaN;77;No Europa
Belarus;9742;3380;69;Europa
Belgium;10430;38600;79;Europa
Belize;282;3650;76;No Europa
Benin;8760;540;56;No Europa
Bhutan;649;1410;65;No Europa
Bolivia;9354;1100;65;No Europa
Bosnia and Herzegovina;3926;2980;75;Europa
Botswana;1858;5900;49;No Europa
Brazil;189323;4730;72;No Europa
Brunei Darussalam;382;24100;77;No Europa
Bulgaria;7693;3990;73;Europa
Burkina Faso;14359;460;52;No Europa
Burundi;8173;100;49;No Europa
Cambodia;14197;480;59;No Europa
Cameroon;18175;1080;50;No Europa
Canada;32577;36170;80;No Europa
Cape Verde;519;2130;71;No Europa
Central African Republic ;4265;360;44;No Europa
Chad;10468;480;50;No Europa
Chile;16465;6980;78;No Europa
China;1320864;2010;73;No Europa
Colombia;45558;2740;73;No Europa
Comoros;818;660;65;No Europa
Congo;3689;950;54;No Europa
Congo Democratic Republic of the;60644;130;46;No Europa
Cook Islands;14;NaN;NaN;No Europa
Costa Rica;4399;4980;79;No Europa
Côte d'Ivoire;18914;870;48;No Europa
Croatia;4556;9330;76;Europa
Cuba;11267;1170;78;No Europa
Cyprus;846;18430;79;Europa
Czech Republic;10189;12680;76;Europa
Denmark;5430;51700;78;Europa
Djibouti;819;1060;54;No Europa
Dominica;68;3960;NaN;No Europa
Dominican Republic;9615;2850;72;No Europa
Ecuador;13202;2840;75;No Europa
Egypt;74166;1350;71;No Europa
El Salvador;6762;2540;72;No Europa
Equatorial Guinea;496;8250;51;No Europa
Eritrea;4692;200;57;No Europa
Estonia;1340;11410;71;Europa
Ethiopia;81021;180;52;No Europa
Fiji;833;3300;69;No Europa
Finland;5261;40650;79;Europa
France;61330;36550;80;Europa
Gabon;1311;5000;56;No Europa
Gambia;1663;310;59;No Europa
Georgia;4433;1560;71;Europa
Germany;82641;36620;79;Europa
Ghana;23008;520;59;No Europa
Greece;11123;21690;79;Europa
Grenada;106;4420;68;No Europa
Guatemala;13029;2640;70;No Europa
Guinea;9181;410;55;No Europa
Guinea-Bissau;1646;190;46;No Europa
Guyana;739;1130;66;No Europa
Haiti;9446;480;60;No Europa
Holy See;1;NaN;NaN;No Europa
Honduras;6969;1200;70;No Europa
Hungary;10058;10950;73;Europa
Iceland;298;50580;82;Europa
India;1151751;820;64;No Europa
Indonesia;228864;1420;70;No Europa
Iran (Islamic Republic of);70270;3000;71;No Europa
Iraq;28506;2170;58;No Europa
Ireland;4221;45580;79;Europa
